date,open,high,low,close,volume
2024-04-16,675.0,675.0,630.0,635.0,23540700
2024-04-17,640.0,660.0,630.0,635.0,36162800
2024-04-18,635.0,655.0,625.0,650.0,33129000
2024-04-19,650.0,665.0,630.0,655.0,35139200
2024-04-22,655.0,680.0,645.0,680.0,42031200
2024-04-23,680.0,700.0,670.0,690.0,43128800
2024-04-24,690.0,710.0,680.0,700.0,35044100
2024-04-25,690.0,705.0,655.0,655.0,32614600
2024-04-26,655.0,695.0,650.0,680.0,32057800
2024-04-29,680.0,695.0,650.0,670.0,21257000
2024-04-30,670.0,670.0,630.0,635.0,22343700
2024-05-02,635.0,680.0,625.0,680.0,56955200
2024-05-03,680.0,680.0,655.0,680.0,25733800
2024-05-06,680.0,685.0,650.0,670.0,39203100
2024-05-07,670.0,670.0,660.0,670.0,27830500
2024-05-08,665.0,670.0,650.0,650.0,21780000
2024-05-13,665.0,705.0,645.0,695.0,50254200
2024-05-14,690.0,695.0,675.0,695.0,35734000
2024-05-15,690.0,695.0,655.0,655.0,24343500
2024-05-16,655.0,680.0,655.0,665.0,38564400
2024-05-17,670.0,685.0,645.0,655.0,41156200
2024-05-20,655.0,670.0,645.0,650.0,22596200
2024-05-21,650.0,660.0,640.0,650.0,33077300
2024-05-22,650.0,655.0,640.0,650.0,24746200
2024-05-27,650.0,670.0,640.0,650.0,35979800
2024-05-28,645.0,660.0,645.0,650.0,44607400
2024-05-29,650.0,660.0,640.0,655.0,26217700
2024-05-30,655.0,665.0,650.0,665.0,38349900
2024-05-31,665.0,665.0,635.0,635.0,30085000
2024-06-03,645.0,665.0,635.0,655.0,39674900
2024-06-04,655.0,675.0,650.0,665.0,33383100
2024-06-05,660.0,670.0,650.0,655.0,35473300
2024-06-06,655.0,670.0,655.0,670.0,31402000
2024-06-07,670.0,670.0,655.0,660.0,20857900
2024-06-10,660.0,665.0,640.0,660.0,38236800
2024-06-11,655.0,660.0,650.0,660.0,31351000
2024-06-12,655.0,660.0,640.0,655.0,25661700
2024-06-13,650.0,670.0,640.0,665.0,34282600
2024-06-14,645.0,655.0,635.0,650.0,22475400
2024-06-19,645.0,650.0,630.0,650.0,32703500
2024-06-20,650.0,650.0,615.0,620.0,25504000
2024-06-21,620.0,630.0,600.0,620.0,31404000
2024-06-24,615.0,625.0,610.0,615.0,29215800
2024-06-25,610.0,615.0,600.0,610.0,29307900
2024-06-26,610.0,615.0,610.0,610.0,19899300
2024-06-27,610.0,620.0,610.0,615.0,31330100
2024-06-28,615.0,625.0,610.0,620.0,36170600
2024-07-01,625.0,660.0,620.0,655.0,42937600
2024-07-02,655.0,655.0,630.0,630.0,29893000
2024-07-03,630.0,635.0,615.0,625.0,22544200
2024-07-04,625.0,625.0,615.0,620.0,32048600
2024-07-05,620.0,625.0,615.0,625.0,25527000
2024-07-08,625.0,635.0,620.0,635.0,35317800
