date,open,high,low,close,volume
2024-04-16,70.0,70.0,70.0,70.0,300
2024-04-17,70.0,70.0,70.0,70.0,0
2024-04-18,70.0,70.0,70.0,70.0,0
2024-04-19,70.0,70.0,70.0,70.0,0
2024-04-22,70.0,70.0,70.0,70.0,0
2024-04-23,70.0,70.0,70.0,70.0,0
2024-04-24,70.0,70.0,70.0,70.0,1200
2024-04-25,70.0,70.0,70.0,70.0,0
2024-04-26,70.0,70.0,70.0,70.0,400
2024-04-29,70.0,70.0,70.0,70.0,0
2024-04-30,70.0,70.0,70.0,70.0,0
2024-05-02,70.0,70.0,70.0,70.0,0
2024-05-03,70.0,70.0,70.0,70.0,0
2024-05-06,70.0,70.0,70.0,70.0,0
2024-05-07,70.0,70.0,70.0,70.0,0
2024-05-08,70.0,70.0,70.0,70.0,0
2024-05-13,70.0,70.0,70.0,70.0,100
2024-05-14,70.0,70.0,70.0,70.0,0
2024-05-15,70.0,70.0,70.0,70.0,0
2024-05-16,70.0,70.0,70.0,70.0,0
2024-05-17,70.0,70.0,70.0,70.0,0
2024-05-20,70.0,70.0,70.0,70.0,0
2024-05-21,70.0,70.0,70.0,70.0,0
2024-05-22,70.0,70.0,70.0,70.0,2500
2024-05-27,70.0,70.0,70.0,70.0,0
2024-05-28,70.0,70.0,70.0,70.0,0
2024-05-29,70.0,70.0,70.0,70.0,0
2024-05-30,70.0,70.0,70.0,70.0,400
2024-05-31,70.0,70.0,70.0,70.0,0
2024-06-03,70.0,70.0,70.0,70.0,0
2024-06-04,70.0,70.0,70.0,70.0,1100
2024-06-05,70.0,70.0,70.0,70.0,0
2024-06-06,70.0,70.0,70.0,70.0,100
2024-06-07,70.0,70.0,70.0,70.0,0
2024-06-10,70.0,70.0,70.0,70.0,300
2024-06-11,70.0,70.0,70.0,70.0,0
2024-06-12,70.0,70.0,70.0,70.0,14600
2024-06-13,70.0,70.0,70.0,70.0,0
2024-06-14,70.0,70.0,70.0,70.0,0
2024-06-19,63.0,63.0,63.0,63.0,10100
2024-06-20,57.0,57.0,57.0,57.0,1100
2024-06-21,52.0,57.0,52.0,57.0,2500
2024-06-24,57.0,57.0,57.0,57.0,200
2024-06-25,57.0,57.0,57.0,57.0,1200
2024-06-26,57.0,57.0,57.0,57.0,0
2024-06-27,57.0,57.0,57.0,57.0,0
2024-06-28,57.0,57.0,57.0,57.0,0
2024-07-01,57.0,60.0,57.0,60.0,600
2024-07-02,61.0,61.0,61.0,61.0,900
2024-07-03,61.0,61.0,61.0,61.0,0
2024-07-04,61.0,61.0,61.0,61.0,0
2024-07-05,61.0,61.0,61.0,61.0,0
2024-07-08,65.0,65.0,65.0,65.0,400
2024-07-09,65.0,65.0,65.0,65.0,0
2024-07-10,65.0,67.0,65.0,67.0,11600
2024-07-11,69.0,69.0,69.0,69.0,20400
2024-07-12,69.0,69.0,69.0,69.0,1200
2024-07-15,70.0,70.0,70.0,70.0,100
2024-07-16,70.0,70.0,70.0,70.0,0
2024-07-17,70.0,70.0,70.0,70.0,1000
2024-07-18,70.0,70.0,70.0,70.0,0
2024-07-19,70.0,70.0,70.0,70.0,1100
2024-07-22,70.0,70.0,70.0,70.0,0
2024-07-23,70.0,70.0,70.0,70.0,0
2024-07-24,70.0,70.0,70.0,70.0,0
2024-07-25,70.0,70.0,70.0,70.0,0
2024-07-26,70.0,71.0,70.0,71.0,400
2024-07-29,71.0,71.0,71.0,71.0,200
2024-07-30,71.0,71.0,71.0,71.0,100
2024-07-31,71.0,71.0,71.0,71.0,100
2024-08-01,71.0,71.0,71.0,71.0,0
2024-08-02,71.0,71.0,71.0,71.0,100
2024-08-05,71.0,71.0,71.0,71.0,100
2024-08-06,71.0,71.0,71.0,71.0,0
2024-08-07,71.0,71.0,71.0,71.0,100
2024-08-08,71.0,71.0,71.0,71.0,0
2024-08-09,71.0,71.0,71.0,71.0,300
2024-08-12,71.0,71.0,71.0,71.0,100
2024-08-13,71.0,71.0,71.0,71.0,200
2024-08-14,71.0,71.0,71.0,71.0,10100
2024-08-15,71.0,71.0,71.0,71.0,200
2024-08-16,71.0,71.0,71.0,71.0,200
2024-08-19,71.0,71.0,71.0,71.0,200
2024-08-20,71.0,72.0,71.0,72.0,1700
2024-08-21,73.0,73.0,73.0,73.0,5000
2024-08-22,73.0,73.0,73.0,73.0,0
2024-08-23,73.0,73.0,73.0,73.0,0
2024-08-26,73.0,73.0,73.0,73.0,0
2024-08-27,73.0,73.0,73.0,73.0,0
2024-08-28,73.0,73.0,73.0,73.0,0
2024-08-29,73.0,73.0,73.0,73.0,0
2024-08-30,73.0,73.0,73.0,73.0,200
2024-09-02,73.0,73.0,73.0,73.0,200
2024-09-03,73.0,73.0,73.0,73.0,15300
2024-09-04,73.0,73.0,73.0,73.0,0
2024-09-05,73.0,74.0,73.0,74.0,1100
2024-09-06,74.0,74.0,74.0,74.0,1500
2024-09-09,75.0,75.0,75.0,75.0,700
2024-09-10,75.0,75.0,75.0,75.0,0
2024-09-11,75.0,75.0,75.0,75.0,0
2024-09-12,75.0,75.0,75.0,75.0,500
2024-09-13,75.0,75.0,75.0,75.0,10000
2024-09-17,75.0,75.0,75.0,75.0,0
2024-09-18,75.0,75.0,75.0,75.0,0
2024-09-19,74.0,74.0,74.0,74.0,1300
2024-09-20,74.0,74.0,74.0,74.0,0
2024-09-23,74.0,74.0,74.0,74.0,0
2024-09-24,74.0,74.0,74.0,74.0,0
2024-09-25,74.0,74.0,74.0,74.0,0
2024-09-26,74.0,74.0,74.0,74.0,0
2024-09-27,74.0,74.0,74.0,74.0,0
